TimeStamp,Distance
22.76477,7.036807
22.87445,7.370456
22.97483,8.017417
23.07491,3.74069
23.17786,4.256105
23.28037,5.042513
23.38316,5.650928
23.48524,6.25156
23.58745,6.936087
23.69011,3.154135
23.79025,2.547433
23.89227,3.008001
23.99375,3.139764
24.09615,3.4538
24.1965,4.041001
24.30927,5.021725
24.41131,5.815141
24.51258,6.471345
24.61311,7.296139
24.71475,7.305508
24.81665,7.917279
24.91725,8.676521
25.01815,5.071143
25.11879,8.383951
25.21916,8.680346
25.31966,2.289449
25.42097,2.73934
25.52164,3.231467
25.62314,4.066858
25.72396,7.575271
25.82429,3.95423
25.92435,3.775385
26.02548,4.898955
26.12685,10.23483
26.2291,10.80966
26.32979,11.35617
26.44232,3.563741
26.54481,4.058572
26.64511,4.86406
26.74755,5.729456
26.84916,6.633501
26.95094,7.469777
27.05326,4.267236
27.15353,4.768979
27.25575,3.327911
27.35775,4.189083
27.45786,5.46826
27.55847,9.10876
27.65997,14.45705
27.76105,15.27304
27.86329,15.84353
28.00131,16.40433
28.11055,17.09809
28.21228,3.038609
28.31471,3.476143
28.41616,7.989367
28.51724,8.430319
28.61862,8.89024
28.72311,9.518125
28.82639,10.03336
28.92969,7.626925
29.04168,5.541654
29.14277,2.372279
29.24621,2.768935
29.34883,3.506536
29.45218,3.963258
29.55324,5.833315
29.65343,6.496879
29.75384,7.270665
29.85464,16.1186
29.95531,2.793011
30.05658,7.378211
30.15796,8.018842
30.25939,8.821001
30.36037,4.104925
30.46087,4.780539
30.56124,5.458823
30.66203,6.358805
30.76337,6.77381
30.86466,3.201156
30.96574,3.61743
31.06614,5.27654
31.16785,3.590614
31.26794,3.70844
31.36795,3.980633
31.46906,4.376038
31.57014,4.868942
31.67184,5.421582
31.77335,4.894468
31.87366,5.64784
31.97601,6.544562
32.0761,17.91096
32.17726,5.997725
32.27863,6.674652
32.37934,7.631967
32.47987,4.661162
32.58036,5.4493
32.68137,6.011964
32.78225,6.659069
32.88343,4.852035
32.98405,5.489422
33.08585,6.045298
33.18626,2.499401
33.28704,4.241019
33.38913,5.08716
33.49084,9.174159
33.59271,30.75
33.69463,16.98897
33.79525,17.00614
33.89548,17.33186
33.99714,18.01168
34.09816,18.69366
34.19824,19.37808
34.30951,4.357109
34.41209,3.478223
34.51337,5.847731
34.61561,30.75
34.71598,3.552635
34.81732,4.023065
34.91813,2.804092
35.01876,3.261736
35.12428,4.243618
35.22597,8.348708
35.33027,30.75
35.44349,30.75
35.54729,3.61229
35.6498,3.986725
35.75027,8.495198
35.85195,9.104001
35.95566,4.745715
36.05933,4.504795
36.16339,3.59499
36.27682,5.089826
36.37819,5.268371
36.47924,6.070428
36.58653,7.004234
36.68887,7.84442
36.78968,3.154425
36.89169,3.591555
36.99302,4.585902
37.09451,5.622146
37.1961,6.518819
37.29708,6.107084
37.39917,6.897628
37.51044,4.654179
37.61364,3.780766
37.71376,2.244168
37.81586,2.589413
37.91727,2.995444
38.01755,3.802253
38.11885,30.75
38.21975,8.09496
38.32327,8.426849
38.42429,9.316278
38.52649,2.872406
38.62734,3.206086
38.73358,3.470952
38.83395,4.998875
38.93536,6.131309
39.03683,3.372108
39.13844,4.282074
39.23988,5.615961
39.34214,5.419885
39.44323,4.533998
39.54505,3.827498
39.64699,4.04909
39.74708,4.290765
39.84936,4.659967
39.95224,4.925757
40.05437,5.611272
40.15636,6.321699
40.2577,18.62891
40.35938,4.665425
40.46081,18.09267
40.56278,18.85394
40.66435,3.144116
40.77584,3.768011
40.87666,4.75894
40.98005,4.438562
41.08165,3.201449
41.18205,2.829906
41.28384,7.787684
41.38535,8.460066
41.48546,3.54393
41.58626,4.927357
41.68646,5.209153
41.79129,3.525315
41.89244,4.048385
41.99767,3.423716
42.11012,4.185159
42.21391,6.405943
42.31595,7.190829
42.41873,10.34785
42.51935,10.90205
42.62227,11.52826
42.72844,12.0242
42.84352,4.637049
42.94374,5.609789
43.04686,6.385085
43.14828,8.306595
43.24907,8.913361
43.35207,9.098949
43.45234,3.705194
43.55754,4.374805
43.66277,5.399466
43.77655,2.777366
43.87659,3.144653
43.97704,3.837108
44.08021,5.101238
44.18192,11.01398
44.28265,11.34536
44.38576,7.910033
44.49255,8.173215
44.5976,12.56187
44.71084,17.20125
44.81359,13.44341
44.91397,14.08583
45.01626,14.98886
45.11795,4.270349
45.22147,5.062541
45.32199,3.466894
45.42682,3.957441
45.53312,4.683719
45.64256,5.56413
45.74275,6.30885
45.84574,7.067245
45.94586,8.114522
46.04682,30.75
46.14879,30.75
46.25027,30.75
46.35441,4.675753
46.46019,7.926512
46.56367,4.12816
46.66511,4.348547
46.77665,4.634596
46.87979,5.038429
46.98162,5.691054
47.08196,6.404702
47.18265,5.134562
47.28394,5.216465
47.38465,5.475637
47.48626,5.975095
47.58796,6.594583
47.69158,7.116324
47.79649,3.532995
47.89656,3.633351
48.00975,3.972289
48.1129,3.175854
48.214,3.472696
48.31432,4.093688
48.41468,5.352156
48.51607,6.239631
48.61784,5.726302
48.71955,6.326302
48.82328,7.239026
48.92861,18.19495
49.04219,18.92595
49.14629,4.731693
49.24664,2.525231
49.34898,3.041661
49.44916,3.913167
49.54956,13.76973
49.65016,30.75
49.75763,5.792328
49.86237,6.392805
49.97671,3.584172
50.07707,4.20141
50.17929,3.921494
50.28032,4.726028
50.38236,5.642747
50.49429,4.962893
50.59806,3.192985
50.70976,3.890304
50.81005,4.874282
50.91015,17.62963
51.01371,18.27355
51.11806,18.98817
51.22489,3.061551
51.32759,4.166377
51.43471,4.873682
51.54264,5.606172
51.6473,6.253515
51.74748,6.854543
51.84784,7.855192
51.94985,2.29435
52.05247,2.640391
52.15274,3.108431
52.25577,3.369593
